DRUG_ID	DRUG_NAME	DepMapID	AUC_PUBLISHED
1030	KU-55933	ACH-000196	0.9699479999999999
1030	KU-55933	ACH-000374	0.9416180000000001
1030	KU-55933	ACH-000624	0.9739450000000001
1030	KU-55933	ACH-000277	0.948983
1030	KU-55933	ACH-000352	0.972474
1030	KU-55933	ACH-000212	0.9801489999999999
1030	KU-55933	ACH-000330	0.947925
1030	KU-55933	ACH-000621	0.9930370000000001
1030	KU-55933	ACH-000859	0.960809
1030	KU-55933	ACH-000536	0.966852
1046	681640	ACH-000856	0.728923
1046	681640	ACH-000759	0.778777
1046	681640	ACH-000699	0.723193
1046	681640	ACH-000910	0.788516
1046	681640	ACH-000691	0.902388
1046	681640	ACH-000755	0.8572549999999999
1046	681640	ACH-000783	0.8541690000000001
1046	681640	ACH-000849	0.818553
1046	681640	ACH-000711	0.825408
1046	681640	ACH-000349	0.8691190000000001
1046	681640	ACH-000148	0.6671100000000001
1046	681640	ACH-000248	0.8426440000000001
1046	681640	ACH-000643	0.8620639999999999
1046	681640	ACH-000934	0.929059
1046	681640	ACH-000573	0.80381
1046	681640	ACH-000223	0.880292
1046	681640	ACH-000768	0.73532
1046	681640	ACH-000554	0.9367530000000001
1046	681640	ACH-000117	0.9510770000000001
1046	681640	ACH-000818	0.8339280000000001
1046	681640	ACH-000196	0.674813
1046	681640	ACH-000374	0.775203
1046	681640	ACH-000624	0.6733819999999999
1046	681640	ACH-000277	0.8807649999999999
1046	681640	ACH-000352	0.8403360000000001
1046	681640	ACH-000212	0.847352
1046	681640	ACH-000330	0.806702
1046	681640	ACH-000621	0.834477
1046	681640	ACH-000859	0.891496
1046	681640	ACH-000536	0.871423
1046	681640	ACH-000048	0.8593219999999999
1046	681640	ACH-000222	0.9377280000000001
1046	681640	ACH-000118	0.79713
1046	681640	ACH-000857	0.866151
1046	681640	ACH-001630	0.8907860000000001
1046	681640	ACH-000060	0.9137620000000001
1046	681640	ACH-000864	0.783343
1046	681640	ACH-000114	0.884797
1046	681640	ACH-000913	0.743205
1046	681640	ACH-000308	0.934243
1046	681640	ACH-000527	0.873151
1046	681640	ACH-000430	0.721885
1046	681640	ACH-000320	0.891573
1046	681640	ACH-000138	0.8919360000000001
1046	681640	ACH-000213	0.915427
1046	681640	ACH-000354	0.911798
1046	681640	ACH-001374	0.8819450000000001
1046	681640	ACH-000091	0.8871100000000001
1046	681640	ACH-000885	0.762538
1046	681640	ACH-000107	0.948197
1046	681640	ACH-000265	0.839397
1046	681640	ACH-000270	0.790067
1046	681640	ACH-000281	0.881919
1046	681640	ACH-000704	0.917391
1046	681640	ACH-001655	0.9105770000000001
1046	681640	ACH-000524	0.9589
1046	681640	ACH-000906	0.80118
1046	681640	ACH-000243	0.827095
1046	681640	ACH-000094	0.9013110000000001
1046	681640	ACH-000332	0.908538
1046	681640	ACH-000879	0.909566
1046	681640	ACH-000443	0.9585
1046	681640	ACH-000663	0.829119
1046	681640	ACH-000719	0.828732
1046	681640	ACH-000811	0.8669629999999999
1046	681640	ACH-000966	0.775297
1046	681640	ACH-000023	0.811179
1046	681640	ACH-000657	0.78214
1046	681640	ACH-000940	0.808091
1046	681640	ACH-000291	0.93874
1046	681640	ACH-000192	0.97715
1046	681640	ACH-000652	0.913035
