DepMapID	correlation	CellLine_Name_Cleaned	Cancer_Type	Cancer_Subtype	DerivedFrom_Primary_or_Met
ACH-000552	-0.2067338542971861	HT29	Colon/Colorectal Cancer	Adenocarcinoma	Primary
ACH-000553	-0.03502952765525763	SQ1	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Squamous Cell Carcinoma	Primary
ACH-000554	-0.2947496811720501	UACC893	Breast Cancer	Breast Ductal Carcinoma	Primary
ACH-000555	-0.1361984140936967	A498	Kidney Cancer	Renal Cell Carcinoma	Primary
ACH-000556	-0.1884916903594532	SIHA	Cervical Cancer	Carcinoma	NA
ACH-000557	-0.03565068285072879	AML193	Leukemia	Acute Myelogenous Leukemia (AML)_M5 (Eosinophilic/Monocytic)	Primary
ACH-000559	-0.035485975000758584	NCIH1836	Lung Cancer	Small Cell Lung Cancer (SCLC)	Primary
ACH-000560	-0.0971345134717332	ECC10	Gastric Cancer	Small Cell Carcinoma	NA
ACH-000561	NA	TDOTT	Esophageal Cancer	Squamous Cell Carcinoma	Metastasis
ACH-000562	-0.1080948063941952	HCC78	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Metastasis
ACH-000563	0.005689494328263507	EBC1	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Squamous Cell Carcinoma	Metastasis
ACH-000564	-0.07905422475963242	KHM1B	Myeloma	Multiple Myeloma	Primary
ACH-000565	-0.13058730376765124	RCM1	Colon/Colorectal Cancer	Adenocarcinoma	Primary
ACH-000566	-0.036657953538101314	SW1710	Bladder Cancer	Transitional Cell Carcinoma	Primary
ACH-000568	-0.27587987963779864	UACC812	Breast Cancer	Breast Ductal Carcinoma	Primary
ACH-000569	0.006753827941894351	ISTMES1	Lung Cancer	Mesothelioma	Primary
ACH-000570	-0.0035939400261539895	YKG1	Brain Cancer	Glioblastoma	Primary
ACH-000572	-0.00689869394747257	G361	Skin Cancer	Melanoma	Primary
ACH-000573	-0.08294208662454072	MDAMB436	Breast Cancer	Carcinoma	Metastasis
ACH-000574	-0.05274640606049875	FUOV1	Ovarian Cancer	Adenocarcinoma_high grade serous	Primary
ACH-000576	-0.05191413836432926	KMS27	Myeloma	Multiple Myeloma	Primary
ACH-000577	-0.040998617643578886	JHH2	Liver Cancer	Hepatocellular Carcinoma	Metastasis
ACH-000578	0.03918403673876797	HCC1171	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Primary
ACH-000579	-0.016376299826971984	UACC257	Skin Cancer	Melanoma	Primary
ACH-000580	-0.019110485788435952	C32	Skin Cancer	Melanoma_amelanotic	Primary
ACH-000581	-0.2231567077789094	SNU16	Gastric Cancer	Adenocarcinoma	Metastasis
ACH-000582	-0.054202319869013166	COLO741	Skin Cancer	Melanoma	Metastasis
ACH-000583	-0.05699450062816862	MC116	Lymphoma	B-cell_Non-Hodgkins	NA
ACH-000584	-0.13427243436304379	JHOS4	Ovarian Cancer	Adenocarcinoma_high grade serous	Primary
ACH-000585	0.21282431537592567	EPLC272H	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Squamous Cell Carcinoma	Primary
ACH-000586	-0.014525539697161303	NCIH1876	Lung Cancer	Small Cell Lung Cancer (SCLC)	Metastasis
ACH-000589	-0.3464255047766901	NCIH1437	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Metastasis
ACH-000590	-0.1222531293332133	NCIH2073	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Primary
ACH-000592	0.13616256521297168	TM31	Brain Cancer	Glioma	NA
ACH-000594	-0.07164234425665393	DMS153	Lung Cancer	Small Cell Lung Cancer (SCLC)	Metastasis
ACH-000595	0.027711364410705396	LN229	Brain Cancer	Glioblastoma	Primary
ACH-000596	-0.12268769939319991	LCLC97TM1	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Large Cell Carcinoma	Primary
ACH-000598	-0.07486389452470264	KMS21BM	Myeloma	Multiple Myeloma	Primary
ACH-000600	-0.020963015720944316	SLR26	Kidney Cancer	Renal Cell Carcinoma	Primary
ACH-000602	-0.03673667860807588	M07E	Leukemia	Acute Myelogenous Leukemia (AML)_M7 (Megakaryoblastic)	NA
ACH-000603	-0.21399912978216082	BEN	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_unspecified	Metastasis
ACH-000604	-0.1002131277759406	KYO1	Leukemia	Chronic Myelogenous Leukemia (CML)_blast crisis	NA
ACH-000605	-0.00954979586043248	TE6	Esophageal Cancer	Squamous Cell Carcinoma	NA
ACH-000606	0.16013808300966206	PECAPJ34CLONEC12	Head and Neck Cancer	Squamous Cell Carcinoma_basaloid	Primary
ACH-000607	-0.036695215950178654	KYM1	Rhabdoid	Malignant Rhabdoid Tumor	Primary
ACH-000608	-0.11290428013772148	COV644	Ovarian Cancer	Adenocarcinoma_mucinous	Primary
ACH-000609	0.02718571446096278	SF126	Brain Cancer	Astrocytoma	Primary
ACH-000610	-0.01161989665757667	NCIH2227	Lung Cancer	Small Cell Lung Cancer (SCLC)	Primary
ACH-000611	-0.04028731942199195	SUDHL6	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Metastasis
ACH-000614	-0.01773344997190329	RVH421	Skin Cancer	Melanoma	Metastasis
ACH-000615	-0.009217739023286708	SKMEL28	Skin Cancer	Melanoma	NA
ACH-000616	0.16749440905333365	HS746T	Gastric Cancer	Adenocarcinoma	Metastasis
ACH-000618	0.15528687052775672	SNU1041	Head and Neck Cancer	Squamous Cell Carcinoma_hypopharyngeal	NA
ACH-000619	-0.04489478735859114	PECAPJ15	Head and Neck Cancer	Squamous Cell Carcinoma_oral	Primary
ACH-000620	-0.08870017119648539	JHH1	Liver Cancer	Hepatocellular Carcinoma	Primary
ACH-000621	-0.021121943487425212	MDAMB157	Breast Cancer	Breast Ductal Carcinoma	Metastasis
ACH-000622	0.003352647148692878	KNS42	Brain Cancer	Glioblastoma	Primary
ACH-000623	-0.03159913112087692	SNU201	Brain Cancer	Glioblastoma	Primary
ACH-000624	-0.009844725664203012	HCC1806	Breast Cancer	Breast Ductal Carcinoma	Primary
ACH-000625	-0.0930076806824302	HEP3B217	Liver Cancer	Hepatocellular Carcinoma	Primary
ACH-000626	-0.10383934601997201	U266B1	Myeloma	Multiple Myeloma_plasmacytoma	NA
ACH-000628	-0.08339639237296523	NCIH596	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenosquamous Carcinoma	Primary
ACH-000630	-0.0010201644965202523	YD8	Head and Neck Cancer	Squamous Cell Carcinoma_tongue	NA
ACH-000631	0.03757699372561262	KS1	Brain Cancer	Astrocytoma	Primary
ACH-000632	0.09200419058605135	HS944T	Skin Cancer	Melanoma	Metastasis
ACH-000634	0.026548846832031958	LN340	Brain Cancer	Glioblastoma	NA
ACH-000635	-0.1517822178037967	SNU119	Ovarian Cancer	Cystadenocarcinoma_high grade serous	Metastasis
ACH-000636	-0.047504488743260735	RPMI8402	Leukemia	Acute Lymphoblastic Leukemia (ALL)_T-cell	NA
ACH-000637	0.025792022285171915	KYSE520	Esophageal Cancer	Squamous Cell Carcinoma	Primary
ACH-000638	-0.15015200596465775	NCIH441	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Metastasis
ACH-000640	0.012098170753811945	SKMEL31	Skin Cancer	Melanoma	Primary
ACH-000641	-0.02944865059300106	CMK	Leukemia	Acute Myelogenous Leukemia (AML)_M7 (Megakaryoblastic)	NA
ACH-000642	0.2880218947061782	HMEL	Engineered	NA	NA
ACH-000643	-0.22465806698882118	HDQP1	Breast Cancer	Breast Ductal Carcinoma	Primary
ACH-000644	-0.0013896327220719133	COLO829	Skin Cancer	Melanoma	Primary
ACH-000645	-0.01712828401613149	JL1	Lung Cancer	Mesothelioma	Primary
ACH-000646	-0.17667063866934993	OVMANA	Ovarian Cancer	Adenocarcinoma_clear cell	Primary
ACH-000648	-0.11776496624232868	NCIH28	Lung Cancer	Mesothelioma	Metastasis
ACH-000650	-0.02299427069158222	IGR37	Skin Cancer	Melanoma	Metastasis
ACH-000651	-0.11588771189423132	SW620	Colon/Colorectal Cancer	Adenocarcinoma	Metastasis
ACH-000652	-0.07941460795231474	SUIT2	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Metastasis
ACH-000653	-0.07073350941562696	JJN3	Myeloma	Multiple Myeloma	Primary
ACH-000654	-0.04791274825050589	RAJI	Lymphoma	B-cell_Non-Hodgkins_Burkitts	NA
ACH-000655	0.11527379072677973	SF268	Brain Cancer	Glioma	Primary
ACH-000656	-1.7499548462607983e-4	SUDHL8	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Metastasis
ACH-000657	0.02597055425010933	A2780	Ovarian Cancer	Adenocarcinoma_endometrioid	Primary
ACH-000658	-0.10493953381824592	KMS18	Myeloma	Multiple Myeloma	Primary
ACH-000659	-0.07793020983859646	SCLC21H	Lung Cancer	Small Cell Lung Cancer (SCLC)	Metastasis
ACH-000660	-0.039949893707723505	SUDHL5	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Primary
ACH-000661	0.06155739779432196	WM1799	Skin Cancer	Melanoma	NA
ACH-000663	-0.028705164617905045	OVTOKO	Ovarian Cancer	Adenocarcinoma_clear cell	Metastasis
ACH-000664	-0.033668000831459904	SUDHL1	Lymphoma	T-cell_Non-Hodgkins_Anaplastic Large Cell (ALCL)	NA
ACH-000667	-0.03792844639642438	HCC44	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Primary
ACH-000669	0.011758916066276805	SW900	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Squamous Cell Carcinoma	Primary
ACH-000670	-0.05142831494329709	SBC5	Lung Cancer	Small Cell Lung Cancer (SCLC)	Metastasis
ACH-000671	-0.05203433153846241	HUH6	Liver Cancer	Hepatoblastoma	NA
ACH-000672	0.08918934584956013	IALM	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Large Cell Carcinoma	Metastasis
ACH-000673	0.12310437083898794	LN443	Brain Cancer	Glioblastoma	NA
ACH-000674	-0.2624137751229289	NUGC4	Gastric Cancer	Adenocarcinoma	Metastasis
ACH-000676	0.003015795534236336	LN464	Brain Cancer	Glioblastoma	NA
ACH-000677	0.03466219544339756	SW1573	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Primary
ACH-000679	-0.22488474345829337	OE19	Esophageal Cancer	Squamous Cell Carcinoma	Primary
ACH-000680	-0.18020405550163332	SW948	Colon/Colorectal Cancer	Adenocarcinoma	Primary
ACH-000681	-0.11129849436228464	A549	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Primary
ACH-000682	0.04178832934954583	SNU1066	Head and Neck Cancer	Squamous Cell Carcinoma	NA
ACH-000683	0.04748021826440355	SNU503	Colon/Colorectal Cancer	Adenocarcinoma	Metastasis
ACH-000684	0.020646909898776208	KMRC1	Kidney Cancer	Renal Carcinoma_clear cell	Primary
ACH-000686	-0.18480300153784945	SNU878	Liver Cancer	Hepatocellular Carcinoma	Primary
ACH-000687	-0.0333959488002208	CI1	Lymphoma	B-cell_Non-Hodgkins	NA
ACH-000688	0.051309810604290386	OV7	Ovarian Cancer	Adenocarcinoma_mixed	Primary
ACH-000690	0.11150659314440885	HCC2814	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Squamous Cell Carcinoma	NA
ACH-000691	-0.18474546477487222	HCC2157	Breast Cancer	Breast Ductal Carcinoma	Primary
ACH-000692	0.1028024936080549	SNU899	Head and Neck Cancer	Squamous Cell Carcinoma_laryngeal	Primary
ACH-000693	0.15471236998380183	KYSE180	Esophageal Cancer	Squamous Cell Carcinoma	Primary
ACH-000695	-0.07620836837654107	CORL47	Lung Cancer	Small Cell Lung Cancer (SCLC)	Metastasis
ACH-000696	0.0599885282088346	OVCAR8	Ovarian Cancer	Adenocarcinoma_high grade serous	Primary
ACH-000697	-0.11755035917783481	A3KAW	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Primary
ACH-000698	-0.06581795086081085	DMS53	Lung Cancer	Small Cell Lung Cancer (SCLC)	Primary
ACH-000699	-0.15351291951812981	HCC1395	Breast Cancer	Breast Ductal Carcinoma	Primary
ACH-000701	-0.19415027194580609	RMUGS	Ovarian Cancer	Cystadenocarcinoma_mucinous	Primary
ACH-000702	-0.008820022687027572	L1236	Lymphoma	B-cell_Hodgkins	NA
ACH-000703	-0.05711241858908404	DMS79	Lung Cancer	Small Cell Lung Cancer (SCLC)	Metastasis
ACH-000704	-0.16366381100873287	OAW42	Ovarian Cancer	Carcinoma	Metastasis
ACH-000706	-0.15463927286238163	EKVX	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Primary
ACH-000707	-0.04115956137872855	P3HR1	Lymphoma	B-cell_Non-Hodgkins_Burkitts	NA
ACH-000708	-0.15298175499152036	SNU283	Colon/Colorectal Cancer	Adenocarcinoma	Metastasis
ACH-000709	-0.023815240465902818	KMRC2	Kidney Cancer	Renal Carcinoma_clear cell	Primary
ACH-000710	-0.09411648039277623	NCIH854	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Primary
ACH-000711	-0.04317896902465615	JIMT1	Breast Cancer	Breast Ductal Carcinoma	Metastasis
ACH-000712	-0.11540667749482221	HCC1833	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Primary
ACH-000715	0.15348035764217413	SNU1214	Head and Neck Cancer	Squamous Cell Carcinoma_laryngeal	NA
ACH-000717	-0.02455728922183549	COLO680N	Esophageal Cancer	Squamous Cell Carcinoma	NA
ACH-000719	-0.07832311316821683	RMGI	Ovarian Cancer	Adenocarcinoma_clear cell	Metastasis
ACH-000721	-0.1130096438961448	HMC18	Breast Cancer	Carcinoma	Metastasis
ACH-000722	-0.20494838274955987	SNUC1	Colon/Colorectal Cancer	Adenocarcinoma	Metastasis
ACH-000723	0.3032495607065787	YD10B	Head and Neck Cancer	Squamous Cell Carcinoma_tongue	NA
ACH-000724	-0.008081944738257713	HT1376	Bladder Cancer	Carcinoma	Primary
ACH-000725	-0.2689581831306455	HCC202	Breast Cancer	Breast Ductal Carcinoma	Primary
ACH-000726	-0.027960541904822136	TE14	Esophageal Cancer	Squamous Cell Carcinoma	NA
ACH-000728	0.028702259033348984	KASUMI2	Leukemia	Acute Lymphoblastic Leukemia (ALL)_B-cell	NA
ACH-000730	-0.04888061249030479	SKMEL5	Skin Cancer	Melanoma	Metastasis
ACH-000731	-0.031024212977688863	HCC2279	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Primary
ACH-000732	0.205526335050919	PECAPJ41CLONED2	Head and Neck Cancer	Squamous Cell Carcinoma_oral	Primary
ACH-000733	-0.019510204068682854	NCIH1838	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Primary
ACH-000734	-0.2293911481260859	JHH5	Liver Cancer	Hepatocellular Carcinoma	Primary
ACH-000735	0.169067798188936	PECAPJ49	Head and Neck Cancer	Squamous Cell Carcinoma_oral	Primary
ACH-000736	-0.12839424098994498	SNU601	Gastric Cancer	Adenocarcinoma_signet ring cell	Metastasis
ACH-000737	-0.1302503450880028	NCIH1385	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Squamous Cell Carcinoma	Metastasis
ACH-000738	0.10030063016251076	GB1	Brain Cancer	Glioblastoma	Primary
ACH-000739	-0.1521286836836922	HEPG2	Liver Cancer	Hepatocellular Carcinoma	Primary
ACH-000741	0.023800436738143242	UBLC1	Bladder Cancer	Transitional Cell Carcinoma	Primary
ACH-000743	-0.036688022767173485	CORL95	Lung Cancer	Small Cell Lung Cancer (SCLC)	Primary
ACH-000744	-0.28588076185021344	NCIH1623	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Metastasis
ACH-000745	-0.08596707685244809	MOLP8	Myeloma	Multiple Myeloma	Primary
ACH-000746	-0.10855363720905022	GSS	Gastric Cancer	Adenocarcinoma	Metastasis
ACH-000747	0.0016299487017625695	NCIH1703	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Squamous Cell Carcinoma	Primary
ACH-000748	0.07954271386838103	SJSA1	Bone Cancer	Osteosarcoma	Primary
ACH-000749	-0.04071958873495263	DMS273	Lung Cancer	Small Cell Lung Cancer (SCLC)	Metastasis
ACH-000750	0.139100525930279	LOXIMVI	Skin Cancer	Melanoma	Metastasis
ACH-000751	-0.04504060895039429	OCIM1	Leukemia	Acute Myelogenous Leukemia (AML)_M6 (Erythroleukemia)	NA
ACH-000752	0.01273694420906592	NCIH196	Lung Cancer	Small Cell Lung Cancer (SCLC)	Metastasis
ACH-000753	0.08189604282035888	JMSU1	Bladder Cancer	Carcinoma	Metastasis
ACH-000754	-4.264612070964001e-4	L428	Lymphoma	B-cell_Hodgkins	NA
ACH-000755	-0.2438945552517603	HCC2218	Breast Cancer	Breast Ductal Carcinoma	Primary
ACH-000756	0.037709194526471854	GI1	Brain Cancer	Glioblastoma	Primary
ACH-000757	-0.019600209950516898	A427	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	NA
ACH-000758	0.008067997644294849	MKN74	Gastric Cancer	Adenocarcinoma	Metastasis
ACH-000759	-0.33878808206902233	MDAMB175VII	Breast Cancer	Breast Ductal Carcinoma	Metastasis
ACH-000761	0.08986135339363578	NUGC2	Gastric Cancer	Adenocarcinoma	Metastasis
ACH-000762	0.2581511751475363	YD38	Head and Neck Cancer	Squamous Cell Carcinoma	NA
ACH-000763	-0.05599102912885935	MM1S	Myeloma	Multiple Myeloma	Primary
ACH-000765	0.051550031181692074	WM983B	Skin Cancer	Melanoma	Metastasis
ACH-000766	-0.04718894515834215	NCIH1648	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Metastasis
ACH-000767	-0.047198198643364095	NCIH526	Lung Cancer	Small Cell Lung Cancer (SCLC)	Metastasis
